BM/Events:E;BM/FramesPerSecond:E;BM/RunTimeSeconds:E
BeginWorkloadWork:FireStrikeGt1C:FireStrikeGt1C:0:0;;0.001014
;8.919450;18.269042
;40.786158;19.269042
;54.307558;20.269042
;33.198407;21.269042
;40.418213;22.269042
;46.497277;23.269042
;58.293527;24.269042
;51.953994;25.269042
;61.033644;26.269042
;47.187328;27.269042
;45.167869;28.269042
;29.650073;29.269042
;40.839140;30.269042
;54.792029;31.269042
;35.655822;32.269042
;36.865443;33.269042
;52.254977;34.269042
;45.449397;35.269042
;50.368768;36.269042
;59.781790;37.269042
;45.406248;38.269042
;44.656322;39.269042
;47.720122;40.269042
;59.906381;41.269042
;54.045765;42.269042
;51.984692;43.269042
;58.004152;44.269042
;65.424919;45.269042
;49.320936;46.269042
;48.308056;47.269042
BeginWorkloadWork:FireStrikeGt2C:FireStrikeGt2C:1:0;;50.742991
;2.374015;66.269042
;35.722351;67.269042
;65.489811;68.269042
;54.715073;69.269042
;55.839491;70.269042
;56.338178;71.269042
;51.581362;72.269042
;52.898641;73.269042
;59.468837;74.269042
;55.679371;75.269042
;51.404829;76.269042
;54.243708;77.269042
;56.580164;78.269042
;71.078683;79.269042
;77.580124;80.269042
;73.481522;81.269042
;70.752087;82.269042
;61.898279;83.269042
;65.710498;84.269042
;49.832623;85.269042
;46.093424;86.269042
;57.641653;87.269042
;46.804827;88.269042
;38.607668;89.269042
;38.324345;90.269042
;49.791635;91.269042
;45.920168;92.269042
;48.989527;93.269042
;62.865913;94.269042
;67.261429;95.269042
;63.341331;96.269042
;62.006655;97.269042
;59.271729;98.269042
;54.438513;99.269042
;53.735875;100.269042
;50.677652;101.269042
;51.898678;102.269042
;52.496913;103.269042
;47.308420;104.269042
;54.588574;105.269042
;56.726397;106.269042
;44.480424;107.269042
;42.757149;108.269042
BeginWorkloadWork:FireStrikePhysicsC:FireStrikePhysicsC:2:0;;110.190431
;74.368371;116.269042
;67.178621;117.269042
;11.950589;118.269042
;11.331482;119.269042
;9.804296;120.269042
;9.074565;121.269042
;9.989747;122.269042
;11.125638;123.269042
;11.036993;124.269042
;11.177770;125.269042
;11.266045;126.269042
;10.698053;127.269042
;10.889126;128.269042
;10.783179;129.269042
;10.902728;130.269042
;9.545101;131.269042
;11.604526;132.269042
;11.576742;133.269042
;11.523242;134.269042
;12.170648;135.269042
BeginWorkloadWork:FireStrikeCombinedC:FireStrikeCombinedC:3:0;;136.346380
;0.000000;157.269042
;18.441699;158.269042
;15.964716;159.269042
;12.986393;160.269042
;10.992498;161.269042
;10.952488;162.269042
;12.766927;163.269042
;10.736711;164.269042
;9.737739;165.269042
;9.611086;166.269042
;10.370780;167.269042
;10.840967;168.269042
;10.700339;169.269042
;9.420945;170.269042
;10.019535;171.269042
;10.184507;172.269042
;9.504407;173.269042
;9.502517;174.269042
;8.892696;175.269042
EndWorkloadWork:FireStrikeCombinedC:FireStrikeCombinedC:3:0;;180.150796
